,answer_idx,qid,show_name,ts,vid_name,QUESTION ENGLISH,ANSWER ENGLISH,QUESTION HINDI,ANSWER HINDI,QUESTION CODEMIX,ANSWER CODEMIX,Transcript
1194,2,72044,House M.D.,23.28-28.51,house_s05e21_seg02_clip_08,How did House describe Franni's husband after Cameron asked if the patient is married?,"House described the patient as being a double-threat, eco-freak and deadbeat dad after he confirmed the patient is married and has kid too.",हाउस ने फ्रैनी के पति का वर्णन कैसे किया जब कैमरोन ने पूछा कि क्या मरीज शादीशुदा है?,,"House ने Franni के husband को कैसे describe किया था, जब Cameron ने पूछा था कि क्या patient शादीशुदा है?",," Cameron : I'm spying on you for Wilson?  House : Spying, pre-emptive grief counseling...  Cameron : Wilson sees you 10 times more than I do, he's a better liar,  Cameron : and he wouldn't have to cancel a vacation to do it.  House : Good points. Also doesn't explain the diet.  Franni : What does any of this have to do with my husband? Nothing.  House : Meet Mrs. Environmental Nutbag, or did you keep your maiden name?  Cameron : He's married? Yep. Got a kid, too.  House : Double threat, eco-freak and deadbeat dad. House!  Foreman : Sorry, parentally challenged.  Foreman : No, his neck.  Cameron : It's torticollis, reaction to the chlorpromazine. That's not just a spasm, it's swollen. Crunchy.  Foreman : It's definitely not MS.  Foreman : Crunching sounds were caused by an air leak between his lungs. The leak in his mediastinum could've been caused by prolonged hiccups.  Taub : More likely it was the neck spasm.  Cameron : Most likely it was there all along.  Cameron : We just didn't notice until the other symptoms made it worse.  House : So, what causes loss of balance, pathological hiccups,  House : and a hole in his Gloria Steinem?  Foreman : He was protesting a lumber mill last fall.  Foreman : Sarcoid's been linked to pine forests. No, his AC levels are normal. Progressive systemic sclerosis?  Thirteen : Guy practically lives in industrial waste sites.  Thirteen : If a solvent got absorbed through his lungs, caused an autoimmune firestorm...  House : Start him on IV methylprednisolone for systemic sclerosis.  House : Do a full work-up to confirm.  Cameron : By myself? Without yourself.  House : Grab a bat. Grab some pine.  House : Time to bring in the first string."
1666,2,114308,How I Met You Mother,0-27.2,met_s02e16_seg02_clip_19,What did Marshall when stand on front Barney?,Marshall punch Barney on his face.,जब मार्शल बार्नी के सामने खड़ा था तो उसने क्या किया?,"जब मार्शल बार्नी के सामने खड़ा था, तो वह शायद किसी चीज़ को लेकर उसका सामना कर रहा था, संभवतः एक मज़ाकिया या गंभीर तरीके से।","जब मार्शल बार्नी के सामने खड़ा था, तो उसने क्या किया?","जब मार्शल बार्नी के सामने खड़ा था, तो वह शायद किसी चीज़ को लेकर उसका सामना कर रहा था, शायद किसी मज़ाकिया या serious तरीके से।","Congratulations! Thank you. âª Robot found love âª confusing my circuitry âª my software's been hacked âª toaster oven, you're the one for me. âª  Barney : Two, three, four.  Marshall : That's two. Amazing finish."
464,2,15760,Friends,26.85-29.9,friends_s06e01_seg02_clip_00,What question does Ross ask Rachel after he wakes up?,Ross asks why they are in bed together.,रॉस राचेल से क्या सवाल पूछता है जब वह जागता है?,रॉस राचेल से शायद यह पूछता है कि जब वह सो रहा था तब क्या हुआ या क्या वह ठीक है।,Ross Rachel से क्या question पूछता है जब वह जागता है?,Ross Rachel से शायद यह पूछता है कि जब वह सो रहा था तब क्या हुआ या क्या वह ठीक है।," Ross : Why are we in bed together? I don't know.  Joey : -Did we? -I don't know.  Rachel : Do you have any clothes on? Yes. -Really? -No. But we didn't have.. ...sex, did we? I don't remember much about last night.  Ross : It was such a blur."
170,3,110663,Friends,0-3.88,friends_s05e11_seg02_clip_09,What is behind Ross when Rachel says her favorite part is coming up?,the toilet,"जब रेचल कहती है कि उसका पसंदीदा हिस्सा आने वाला है, तो रॉस के पीछे क्या है?",रॉस के पीछे एक जहाज की पेंटिंग है जब रेचल कहती है कि उसका पसंदीदा हिस्सा आने वाला है।,"जब Rachel कहती है कि उसका favorite part आने वाला है, तो Ross के पीछे क्या है?",Ross के पीछे एक ship की painting है जब Rachel कहती है कि उसका favorite part आने वाला है।,"My favorite part's coming up!  Ross : Oh, my God!"
620,4,109743,How I Met You Mother,40.28-51.26,met_s06e14_seg02_clip_04,What did Marshall's dad ask him for before he left to get on the plane?,A porkchop.,मार्शल के पिता ने प्लेन पर चढ़ने से पहले उससे क्या मांगा?,मार्शल के पिता ने प्लेन पर चढ़ने से पहले उससे एक छोटा सा सामान मांगा।,Marshall के दूसरे brother ने क्या कहा कि उनके dad ने आखिरी बार मिलने पर क्या किया?,Marshall के पिता ने plane पर चढ़ने से पहले उससे एक छोटा item मांगा।,"- Question 2... - Wait...  Judy : My last words with Marvin were lovely.  Judy : I've been thinking about them a lot.  Marshall's brother #1 : Me, too.  Marshall's brother #1 : We went for a hike in the snow and had this amazing talk.  Marshall's brother #2 : My last day with Pop,  Marshall's brother #2 : he taught my son how to skate.  Trey : This is clearly yielding nothing.  Trey : Thanks, Dad. Guess I'll have to fill the time with some jokes...  Trey : again.  Judy : ""Last words"" seems like a good theme.  Judy : Marshall, do you remember the last thing your father said to you?  Judy : - Bye, sweetie. - Bye, Mom.  Marshall : Son,  Marvin : there's something I wanna say before I leave.  Marvin : Could I snag that extra pork chop for the flight?  Marshall : I was gonna make a sandwich with that, Dad.  Marshall : Don't they have food on the plane?  Marvin : Yeah, but plane food is ass."
482,4,22725,How I Met You Mother,18.38-61.27,met_s06e03_seg01_clip_00,"What was Ted doing before he said ""Brown, pointy, weird""",Giving a lecture,"टेड ने ""ब्राउन, पॉइंटी, अजीब"" कहने से पहले क्या किया था?","टेड ने ""ब्राउन, पॉइंटी, अजीब"" कहने से पहले एक खिड़की की ओर देखा।","Ted ने ""ब्राउन, पॉइंटी, अजीब"" कहने से पहले क्या किया था?","Ted ने ""ब्राउन, पॉइंटी, अजीब"" कहने से पहले एक window की ओर देखा।","www.tvsubtitles.net Kids, in my early days of being a professor, I had one simple goal :  give a lecture that changes someone's life. Then one afternoon in 2010, I achieved that goal.  Ted : Unfinished.  Ted : Of all the words you could use to describe La Sagrada Familia...  Ted : Brown, pointy, weird...  Ted : the one that really seems to stick is ""unfinished.""  Ted : Why?  Ted : Because on June 7, 1926,  Ted : the architect Antoni Gaudi...  Ted : Whose beard was also brown, pointy, weird and unfinished...  Ted : ... was run over by a bus.  Ted : And so,  Ted : his greatest masterpiece would remain forever... But first, let's back up a few days. Ted, look across the bar. Three chicks : one hot, one kind of hot and one who I'm assuming is really funny. We ride!  Robin : What?  Ted : I don't know.  Ted : Got a burger coming.  Marshall : Bro, I told you,"
1465,1,85261,Friends,59.18-65.03,friends_s07e22_seg02_clip_17,What doe Helena do after Helena was asked by Chandler to sing an song?,"Helena in front of backstage dancers and sings,"" it raining men"".","जब चंदलर ने हेलेना से गाना गाने के लिए कहा, तो हेलेना ने क्या किया?",रिचर्ड मोनिका को बताता है कि बारबरा उसकी माँ है।,"जब Chandler ने Helena से गाना गाने के लिए कहा, तो Helena ने क्या किया?",Richard Monica को बताता है कि Barbara उसकी mom है।,"We'd love it if you could be there. Really?  Chandler : I know it would make me happy... ...ma'am. Then I wouldn't miss it for the world. I'm getting all misty here. You'd think I was having my legs waxed or something.  Monica : - You okay? - Yeah.  Chandler : Thanks for making me do this.  Helena : Before we go on with the show, I want to say to the bride and groom...  Helena : ...how lucky they are to have found each other.  Helena : In every life a little rain must fall. Fortunately...  Helena : ...in my life..."
1146,2,30853,The Big Bang Theory,0-2.17,s04e02_seg02_clip_08,"What did Sheldon tell Penny when she was sitting on the couch with Raj, Leonard, and Howard?",Sheldon told Penny she was sitting in his spot.,"शेल्डन ने पेनी से क्या कहा जब वह राज, लियोनार्ड, और हॉवर्ड के साथ सोफे पर बैठी थी?",शेल्डन संभवतः विज्ञान से संबंधित कोई टिप्पणी करता है या समूह को संबोधित करते समय कुछ उपहासपूर्ण कहता है।,"Sheldon ने Penny से क्या कहा जब वह Raj, Leonard, और Howard के साथ sofa पर बैठी थी?",Sheldon संभवतः science से संबंधित कोई comment करता है या group को address करते समय कुछ sarcastic कहता है।," Sheldon-bot : You're in my spot.  Sheldon-bot : This may seem a little odd at first,  Sheldon-bot : but over time, you'll grow accustomed  Sheldon-bot : to dealing with me in this configuration.  Penny : Yeah, to be honest, I don't see much difference.  Leonard : Thank you.  Sheldon-bot : That's what I was going for.  Sheldon-bot : Now, Leonard, tomorrow, when we go to work,  Sheldon-bot : you'll need to allow some extra time  Sheldon-bot : to get me down the stairs.  Sheldon-bot : For your convenience, I disassemble into four pieces.  Leonard : This is ridiculous.  Leonard : I'm coming to talk to you.  Sheldon-bot : You don't know where I am.  Sheldon-bot : My physical body is safely ensconced  Sheldon-bot : in a secure, undisclosed location.  Leonard : You're in your bedroom.  Sheldon-bot : No, I'm not.  Leonard : I can hear your voice coming from your bedroom."
1337,3,96445,Castle,0-9.85,castle_s02e14_seg02_clip_06,"What color is the shirt Castle is wearing when he say's ""Hey.""?",Pink,"कैसल जिस शर्ट में है, वह किस रंग की है जब वह ""हे"" कहता है?",,"Castle क्या पहने हुए था जब उसने ""Hey"" कहा था?",,"Hey.  Castle : - Hey. - What are you doing?  Beckett : Looking to see who won the game last night.  Castle : We won.  Beckett : Do you even know what game I'm talking about? Sure I do. The big game. Okay, Castle. What's going on?  Esposito : Yo, Beckett. Check this out. He took a picture of the inside of someone's medicine cabinet.  Ryan : You can almost make out the name on these prescription bottles.  Beckett : Have IS take a look at it. See if they can enhance the photo.  Michelle Langford : Oh, God! He went through my medicine cabinet?  Michelle Langford : Please tell me he didn't go through my diary. We're not sure, Ms. Langford. Are you sure you don't recognize him?  Michelle : Yeah, I'm positive.  Beckett : And you don't know the Dysons? No. The only person that knew I was even out of town was my mother.  Michelle : Everyone else thought I was on sick leave.  Michelle : You won't tell my boss that, will you?  Castle : Did you notice anything unusual when you returned?  Michelle : - Oh, that totally explains it. What?  Michelle : My faucet.  Michelle : For weeks I've been asking my super to fix my leaky faucet, but he never came.  Michelle : And then when I got back, it was fixed, so I just assumed that he finally did it. But then later when I saw him on the stairs,  Michelle : he didn't even know what I was talking about.  Castle : The squatter fixed your sink?  Michelle : Yeah. And there was this bottle of,  Michelle : like, weird strawberry champagne in the fridge.  Michelle : And I just assumed that one of my friends had left it  Michelle : during a dinner party I had before I left.  Michelle : But none of my friends would have bought such a..."
742,4,30029,The Big Bang Theory,0-15.99,s03e05_seg02_clip_15,Why is Sheldon looking at Wil so emotionally when they are sitting at the table,Wil said his Memaw died,"जब वे टेबल पर बैठे होते हैं, तो शेल्डन विल को इतनी भावुकता से क्यों देख रहा होता है?","शेल्डन शायद प्रशंसा या यादों को व्यक्त कर रहा होता है, अपनी फैनबॉय स्थिति और गहरी प्रशंसा को दर्शाते हुए।","जब वे table पर बैठे थे, तब Sheldon Wilmer को इतनी भावुकता से क्यों देख रहा था?","Sheldon शायद admiration या memories को express कर रहा होता है, अपनी fanboy स्थिति और deep appreciation को दर्शाते हुए।","Your memaw died?  Sheldon : That's terrible.  Wil Wheaton : Yeah. It was.  Wil Wheaton : But I'm really sorry that I disappointed you.  Sheldon : No, no, I understand. If anything happened to my memaw, I'd be one inconsolable Moon Pie.  Sheldon : I should clarify that statement by explaining that she calls me Moon Pie. It's a special relationship, isn't it? Between a boy and his grandmother.  Sheldon : -Oh, yes. RAJESH : Yeah, okay.  Raj : Okay, great, everybody loves their grandmas.  Raj : Now, come on, Sheldon, finish him off. Yeah. It's okay, Sheldon. I let you down.  Wil Wheaton : I deserve it.  Sheldon : Potion of Zancor.  Raj : What are you waiting for?  Raj : Kill Wil Wheaton. From hell's heart, stab at him.  Leonard : -I can't. -Sure you can. Do it. Do it.  Penny : No."
1965,4,100982,How I Met You Mother,0-10.03,met_s04e03_seg02_clip_02,What kind of plane did Barney mention when he was joking with Marshall?,lesbian plane,"जब बार्नी मार्शल के साथ मजाक कर रहा था, तो उसने किस तरह के विमान का जिक्र किया?","जब बार्नी मार्शल के साथ मजाक कर रहा था, तो उसने एक प्राइवेट जेट या किसी खास मॉडल के प्लेन का जिक्र किया।","जब Ted के friends ने New Jersey को नापसंद किया, तो Stella को कैसा feel हुआ?","जब Barney Marshall के साथ joke कर रहा था, तो उसने एक private jet या किसी special model के plane का mention किया।","Yeah, and I wanna take another crack at that chick, Doris. - I know I can land that lesbian plane. - No snakes on that plane. Okay, guys. Come on, you promised. Let's just hang out here, try to have fun. I mean, we're all together. Friends hanging out. Isn't that what really matters? Okay, if we take the next train, we can be at MacLaren's by 11 : 00. - We can be there by 10 : 00. - No, I have to change first. I am not walking into MacLaren's smelling like New Jersey. Whoa. Wow. You guys really hate it here, huh? What? No, Stels. No. No, I get it. I mean, you guys are all New Yorkers. You need to go hang out at a bar. Well, you could just hang out at the coolest bar in the state, which is so close it will blow your mind. And boom goes the dynamite. The coolest bar in New Jersey. - Yeah, it probably is. - This is great!"
1179,4,121012,Castle,26.69-42.79,castle_s02e16_seg02_clip_14,What excuse does Castle give Alexis after she catches him looking at an inappropriate website?,This is research for a case.,कैसल ने एलेक्सिस को कौन सा बहाना दिया जब उसने उसे एक अनुचित वेबसाइट देखते हुए पकड़ लिया?,,Castle ने Alexis को क्या बहाना दिया जब उसने उसे एक inappropriate वेबसाइट पर देखा?,," Montgomery : Maybe that's why she became a dominatrix.  Montgomery : To give her the courage to stand up for herself.  Beckett : We have uniforms combing through hospital security footage.  Beckett : If Tyler left at any point that night, there should be some trace.  Montgomery : In the meantime, let's just keep digging through those notebooks.  Montgomery : We're gonna need more than speculation if we want to file charges. Great. Dad!  Alexis : - Do we need to talk about this? - This is research for a case. Oh.  Castle : And we need to get you some noisier shoes. Seriously, I...  Castle : - You made the team. - No. Try-outs aren't for another month,  Alexis : but Ashley let me take her uniform home to see how it fit.  Castle : And what do you think?  Alexis : I think it's totally not me, which is why I kind of like it.  Castle : It's not you, so you like it? Yeah.  Alexis : - because you were bored with him? - Yeah?  Alexis : Sometimes I feel that way about me. Like I'm hiding inside my comfort zone  Alexis : and maybe it's time to venture out a little.  Castle : Well, does that venture have to include pom-poms?  Alexis : I don't want to look back on high school and feel like I missed out on something.  Alexis : So, promise you'll be supportive.  Castle : Yeah, I... I promise."
618,0,57918,How I Met You Mother,27.61-60.03,met_s02e14_seg02_clip_05,Why did Barney want to be handcuffed to the radiator when he asked Ted to take the keys?,Barney doesn't trust himself to follow through with the media blackout,बार्नी क्यों चाहता था कि उसे रेडिएटर से हथकड़ी लगाई जाए जब उसने टेड से चाबियां लेने के लिए कहा?,"बार्नी खुद को रेडिएटर से हथकड़ी लगाना चाहता था, यह उसकी एक विस्तृत योजना का हिस्सा था, शायद किसी को प्रभावित करने के लिए या नाटकीय अंदाज में कुछ करने के लिए।",Barney क्यों चाहता था कि उसे radiator से हथकड़ी लगाई जाए जब उसने Ted से चाबियां लेने के लिए कहा?,"Barney खुद को radiator से हथकड़ी लगाना चाहता था, यह उसकी एक elaborate scheme का हिस्सा था, शायद किसी को impress करने के लिए या नाटकीय अंदाज में कुछ करने के लिए।"," Barney : That's impossible.  Ted : I'm not gonna lie to you.  Ted : It's not gonna be easy.  Ted : That means no tv, no internet,  Ted : No newspapers, nothing.  Ted : Media blackout.  Ted : But our tradition lives on.  Ted : Who's in?  Lily : I'm in. I'm in. I'm in.  Barney : What the hell, I'm in. High five!  Ted : Dude, we're at a wake.  Barney : Sorry. Solemn low five.  Ted voix off : None of us had any idea how hard it would be  Ted voix off : To go nine hours without hearing the outcome  Ted voix off : Of the super bowl.  Ted voix off : I decided to work from home to avoid contamination  Ted voix off : By the outside world.  Barney : Hey, take this key and swallow it.  Ted : What? No.  Barney : Come on, ted, you eat salads.  Barney : It'll be out by game time.  Ted : Lots more, no.  Barney : I'm not messing around, theodore.  Barney : I've got a lot of money riding on this game.  Barney : If I don't handcuff myself to this radiator,  Barney : I'll check the score.  Barney : Please take the key."
962,0,60587,Grey's Anatomy,0-5.15,grey_s02e21_seg02_clip_08,What is Richard doing when talking to Ollie about running more tests?,Richard is examining Ollie's abdomen.,"जब रिचर्ड ओलिवर से और परीक्षण करने के बारे में बात कर रहा होता है, तो वह क्या कर रहा होता है?",रिचर्ड ओली के पेट की जांच कर रहे हैं|,"जब Richard Oliver से और परीक्षण करने के बारे में बात कर रहा होता है, तो वह clinical data की review कर रहा होता है?",Richard Oli के पेट की जांच कर रहे हैं।," Richard : Maybe. Surgically.  Richard : We'll have to run more tests and... whatever we do, it's a stop-gap.  Richard : You need a new liver.  Ollie : Yet another reason I should've laid off the sauce.  Ollie : You look scared.  Richard : I am scared, Ollie.  Ollie : Haven't seen you at a meeting in a while.  Richard : I know, I know.  Ollie : How've you been?  Richard : - We're talking about you. - Now I'm asking about you.  Richard : Ellis Grey's daughter's working at the hospital.  Richard : Ellis is in a nursing home with Alzheimer's.  Richard : I try to go see her every chance I get.  Ollie : You're having an affair with the woman who drove you to your alcoholic bottom.  Richard : Ollie, we're not having an affair. She's sick.  Ollie : - You're lying to your wife? - I'm not lying.  Ollie : You're lying by omission. You are having an emotional affair.  Ollie : And now you're lying to your sponsor about it.  Richard : - You haven't been my sponsor in years. - I still have a right to bust your ass  Ollie : - if I see you slipping. - I'm not slipping.  Ollie : Not yet. But you're making a pretty big mess."
450,1,7620,Friends,40.14-55.78,friends_s08e16_seg02_clip_13,Why did Joey say that he shouldn't after Rachel suggested he take off his sweater if he was hot,Because his t-shirt has a picture of Calvin doing Hobbes,"जब राचेल ने जोई को कहा कि अगर वह गर्म है तो उसे अपना स्वेटर उतार लेना चाहिए, तो जोई ने क्यों कहा कि उसे नहीं करना चाहिए?",जोई शायद इस वजह से कहता है कि उसे नहीं करना चाहिए ताकि वह शर्मिंदा न हो या क्योंकि वह असहज था।,"जब Rachel ने Joey को कहा कि अगर वह hot है तो उसे अपना sweater उतार लेना चाहिए, तो Joey ने क्यों कहा कि उसे नहीं करना चाहिए?",Joey शायद इस वजह से कहता है कि उसे नहीं करना चाहिए ताकि वह embarrassed न हो या क्योंकि वह uncomfortable था।," Chandler : -I love you. -I know. I'm gonna take you out to dinner.  Chandler : I found this place that makes the greatest jalapeno poppers. No? They taste so good. It happens whenever Chandler touches my stomach. I'm worried the baby won't like him.  Monica : -Are you okay? -Yeah, sure. Look, the reason..  Joey : Is it hot in here? Why don't you take off your sweater?  Joey : This is a nice place..  Joey : and my T-shirt has a picture of Calvin doing Hobbes.  Rachel : Oh, my God, really? Can I see it?"
1462,3,67469,How I Met You Mother,46.5-48.74,met_s06e15_seg02_clip_09,What color was the dog on the fridge when Zoey surprised Ted with the fridge full of ketchup?,Black,"जब ज़ोए ने टेड को कैचअप से भरे फ्रिज के साथ सरप्राइज दिया, तो फ्रिज पर कुत्ता किस रंग का था?","जब ज़ोए ने टेड को कैचअप से भरे फ्रिज के साथ सरप्राइज दिया, तो फ्रिज पर कुत्ता लाल रंग का था।","जब Marshall के हाथ पर मारा जाता है, तो उसके bed से क्या गिर जाता है?","जब Joe  ने Ted को कैचअप से भरे फ्रिज के साथ सरप्राइज दिया, तो फ्रिज पर कुत्ता लाल रंग का था।"," Marshall : Where's the...?  Marcus : Hurts, don't it?  Marcus : I can't believe you fell for that.  Marshall : So Ted's in love with Zoey  Marshall : and Zoey's in love with Ted? Well, that's not gonna work. I gotta call Ted. Listen, Ted, I gotta tell you something about Zoey.  Ted : I need to tell you something about Zoey, too. I wasnear by and I thought of that beer you're about to offer me.  Ted : Can I get you a beer?  Zoey : I'm so busy. But I guess I got time for one.  Zoey : Lead the way.  Zoey : What?!  Zoey : Fridge full of ketchup? How? How, I ask you?  Ted : What?"
719,0,109712,The Big Bang Theory,3.42-6.22,s03e17_seg01_clip_00,Who is carrying a box when they are walking up the stairs?,Leonard,जब वे सीढ़ियों पर चल रहे थे तब कौन एक बॉक्स ले जा रहा था?,"आमतौर पर लियोनार्ड, शेल्डन, या कोई अन्य पात्र सीढ़ियों पर चलते समय एक बॉक्स ले जा रहा होता है, खासकर जब वे मूविंग या अपार्टमेंट से संबंधित कार्य कर रहे होते हैं।",जब वे stairs पर चल रहे थे तब कौन एक box ले जा रहा था?,"आमतौर पर Leonard, Sheldon, या कोई अन्य character सीढ़ियों पर चलते समय एक box ले जा रहा होता है, खासकर जब वे moving या apartment से संबंधित tasks कर रहे होते हैं।"," Leonard : Why do I always have to carry the heavy stuff?  Sheldon : Well, it's very simple.  Sheldon : In our ragtag band of scientists with nothing to lose...  Sheldon : ...I'm the smart one. Wolowitz is the funny one.  Sheldon : Koothrappali is the lovable foreigner...  Sheldon : ...who struggles to understand our ways and fails.  Sheldon : That leaves you, by default, as the muscle.  Leonard : One more floor and I'd be the pulled muscle.  Penny who is inside the apartment : Oh, it's about time. I'm starving.  Leonard : Uh, well, we didn't actually get Chinese food.  Penny : -Why not? -Don't panic. This is better.  Penny : Oh, no. You didn't trade the food for magic beans, did you?  Sheldon : Of course not. And, technically, magic beans would be food. Eating them would be a waste, since you could plant them... ...and have a giant beanstalk which would provide roughage for a small city.  Penny : Yeah, sometimes I don't listen.  Penny : Sometimes I just watch your jaw go up and down. We were on our way to the restaurant.  Leonard : We saw Adam West, so we followed him."
1050,3,62601,House M.D.,18.48-27.5,house_s04e05_seg02_clip_19,Where did House tell Foreman he got him a job when they were in the elevator?,Mount Zion Hospital in Boston.,हाउस ने फोरमैन से लिफ्ट में क्या कहा था जब उन्होंने उसे नौकरी दी थी?,,House ने Foreman को elevator में कहाँ बताया था कि उसने उसके लिए job रखा था?,," Brennan : He just had a heart attack. Ripping out a piece might kill him. Yeah.  Foreman : We biopsy his toe instead.  House : No. That's a terrible idea.  House : Won't tell us anything. Biopsy his heart. Come on. I'll join you.  House : I got you a job.  House : Mount Zion Hospital in Boston.  Foreman : They have a great diagnostics department.  House : Gilchrist said he'd take you, anyway.  Foreman : That was very nice of you.  House : Oh, God. Does everything have to be about you?  House : It's simple math. I'm not gonna back down, you're not gonna back down, Cuddy's not gonna back down, and no one's gonna be happy here. And Cuddy's gonna end up pregnant. What?  Amber : It doesn't matter.  Foreman : Are you saying... What is you having sex with... Starts Monday.  House : I could help you pack.  Foreman : I don't want the job.  House : Why not? You're miserable.  Foreman : Apparently not.  House : Well, you're gonna be.  House : Are you smiling? No.  House : Do your own stupid biopsy.  13 : His name's Robert Elliot. He's from Hamilton, Ohio."
2035,1,9577,How I Met You Mother,44.12-53.72,met_s02e09_seg02_clip_04,What does Barney tell Lily will be on her grave after she accepts the job of being slap bet commissioner?,"Barney tells Lily that her grave will read, Lily Aldrin, caring wife, loving friend, slap bet commissioner.","जब लिली ने थप्पड़ का शर्त कमिश्नर बनने का काम स्वीकार किया, तो बार्नी ने उसकी कब्र पर क्या लिखा?","जब लिली ने थप्पड़ का शर्त कमिश्नर बनने का काम स्वीकार किया, तो बार्नी ने उसकी कब्र पर लिखा ""स्लैप बेट कमिश्नर।""","जब Lily ने slap bet commissioner बनने का काम accept किया, तो Barney ने उसकी grave पर क्या लिखा?","जब Lily ने slap bet commissioner बनने का काम accept किया, तो Barney ने उसकी कब्र पर लिखा ""Slap Bet Commissioner।""","Guys, there's no way robin is married.  Barney : It's ludicrous to even suggest it.  Ted : Thank you, barney. 'cause it's porn.  Ted : I need another beer. Robin was not in porn. I bet you anything that she's married. $20,000 says it's porn. I don't have $20,000.  Barney : Well, then what do you have? Well... No. I've got it.  Barney : The ultimate wager... Slap bet.  Ted : Oh, slap bet. We used to do those when I was a kid. Whoever is right gets to slap the other person  Marshall : In the face as hard as they possibly can...  Marshall : But no rings. Are you really going to do that? That's so immature. You can be slap bet commissioner. Ooh, I love it. What are my powers? Um, if a problem arises and we need a ruling, That's your job. But... You have to be unbiased And put the integrity of slap bet above all else. This is an honor you will take with you to your grave. On your tombstone, it will read, ""lily aldrin, caring wife, loving friend, Slap bet commissioner.""  Marshall : And your tombstone will read  Marshall : ""got slapped by marshall, so hard he died."""
1807,0,119951,Grey's Anatomy,41.14-50.09,grey_s02e22_seg02_clip_12,"When Meredith sits down and George leaves, what is her response after he is gone?",It's ok. I can accept rejection. I've got my knitting.,"जब मेरिडिथ बैठ जाती है और जॉर्ज चला जाता है, तो उसके जाने के बाद उसकी क्या प्रतिक्रिया होती है?",ठीक है। मैं नकारा स्वीकार कर सकता हूँ। मेरे पास मेरी बुनाई है।,"जब Meredith बैठ जाती है और George चला जाता है, तो उसके जाने के बाद उसकी क्या प्रतिक्रिया होती है?",ठीक है। मैं नकारा स्वीकार कर सकता हूँ। मेरे पास मेरी knitting है।," George : Dr. Yang here, has been kicking my ass all day.  Izzie : - Oh, I can't imagine, Chief. - No, really, she has. Of course, speed and precision  Richard : aren't the most important surgical skills, Dr. Yang.  Richard : The basics are the key. You need a solid foundation before anything else.  Richard : OK, um... Well, I'll see you back at the lab.  Richard : - Enjoy your lunch. - You too.  Izzie : Have a nice day, sir.  Cristina : OK, I really am kicking the Chief's ass.  Meredith : - George. - Not my responsibility.  George : - See you guys. - So who's going to be the...  Meredith : It's OK. I can accept rejection. I've got my knitting.  Joe : - Mer... - The weird thing is,  Meredith : - I thought I just saw my father. - Oh. That's good. That's so good.  Cristina : Hmm. Did you meet your sister too?  Andrew : ""Appoggiatura"" won last year. The year before that? Akshay Buddiga.  Andrew : He fainted, then got up and spelled the word ""alopecoid. ""  Andrew : Kid's a major legend.  Derek : All right. Now it's my turn. ""Fibromyalgia. ""  Bailey : - Fibromyalgia? - What's wrong with fibromyalgia?  Bailey : Andrew won the regionals. He's going to D.C."
1100,4,31877,House M.D.,21.57-29.37,house_s02e07_seg02_clip_08,Where is Cameron when she says she will look in the bathroom?,in the bedroom,कैमरोन कहाँ थी जब उसने कहा कि वह बाथरूम में देखेगी?,,Cameron कहाँ थी जब उसने कहा कि वह बाथरूम में देखेगी?,," Foreman : - Any pain associated with movement? - None that he's complained of. Best-case scenario, an infection in the ear or lungs. Worst case, brain-stem tumor. You should do an MRI, CAT Scan, full work up. I don't think so. No insurance.  Cameron : No drugs in here. I'll take the bathroom.  Chase : How about a drink after work? Take your mind off what happened. Cameron?  Cameron : I might have HIV, a drink's not gonna wash it away.  Chase : There's like zero chance of you contracting the virus.  Cameron : Big difference between ""like zero"" and ""zero.""  Chase : What did the infection control guy tell you?  Cameron : He was very reassuring.  Cameron : Kept reminding me that the hospital covers all my medical costs.  Cameron : Apparently forgot to mention that if I do test positive,  Cameron : that they'll pass it on to legal, and legal will dig up any dirt they can,  Cameron : trying to prove that I'm a drug user or tramp, and that's why I have HIV.  Chase : It's not like they're gonna find anything, right? Right.  Chase : Check this out.  Chase : Kalvin's a photographer. The broken bulbs were props. - The glass is from 1930s fluorescents. - Some of the bulbs are date-stamped.  Chase : Pre-World War II, fluorescent bulbs contained large amounts of beryllium.  Chase : Beryllium dust inflames the lungs, they get rigid, patient can't breathe.  Chase : My father co-authored a paper on acute berylliosis."
